"[297.02154903527384, 367.23714349089255, 287.1794755520344, 44.98471606119122, 33.664133957261946, 45.919482309207254]","[3, 3, 2, 2, 3]","[3, 3, 1, 2, 3]","[[0.0937209173], [0.093745958303], [63.514651061], [111.40071331], [59.373123008]]",7323.484112
"[357.3207859587767, 353.9752163750787, 391.2136070787052, 56.062630852236516, 41.7232397270732, 39.00670574124067]","[2, 2, 2, 2, 2]","[1, 1, 1, 2, 3]","[[0.88710387429], [0.88753138788], [14.88043627], [77.310695917], [88.801634715]]",13043.393143
"[261.48598861123486, 347.8939651542681, 288.2000637152667, 25.702218080447633, 50.09432501716337, 28.73853530435738]","[1, 1, 3, 2, 2]","[2, 2, 1, 3, 1]","[[20.950197471], [20.950807706], [143.81149651], [132.23599566], [1.268121008]]",5217.9856375
"[320.5918854310124, 381.185705410397, 391.8293101853308, 50.65459740083724, 56.47611672779897, 50.44693902726155]","[1, 1, 1, 1, 1]","[2, 2, 2, 3, 1]","[[0.84249663072], [0.8428872405], [13.220642378], [40.409447907], [39.531052994]]",12797.284399
"[336.33442609488594, 284.414908827864, 372.486161565683, 41.32204127126136, 34.52137076132271, 50.23811128410364]","[2, 2, 3, 1, 3]","[3, 3, 1, 2, 2]","[[1.599868358], [39.69292091], [79.007765422], [0.35874457166], [107.41585711]]",8898.1206719
"[324.86322384419225, 277.3887778825204, 297.74547315747583, 54.99167135822614, 43.88660253986687, 34.01482647942322]","[2, 2, 1, 1, 2]","[1, 1, 3, 2, 3]","[[1.0169560636], [20.168274224], [109.91728397], [68.15967114], [0.0]]",5428.6430723
"[365.49839917800637, 368.8095820761284, 278.24107517770926, 35.493990478559, 39.92052738420338, 54.77358104347947]","[3, 3, 2, 2, 3]","[3, 3, 2, 1, 2]","[[0.82484157119], [21.282910721], [84.936169058], [103.66042028], [0.0]]",9640.1362557
"[370.38140485994046, 273.31525076356525, 263.9667757632798, 33.72423770555207, 35.31030308910303, 52.03851767456591]","[3, 3, 1, 3, 1]","[3, 3, 2, 1, 2]","[[16.838284667], [16.83878557], [14.869461808], [111.14647451], [89.567956124]]",5666.270983
"[394.40442776421685, 372.5292827989381, 355.8403671088379, 29.39451518265571, 56.12436854774938, 43.405247600837114]","[3, 3, 3, 1, 1]","[2, 2, 2, 1, 3]","[[0.24369919882], [0.24415602946], [15.906065872], [129.46120072], [70.195802648]]",13770.43247
"[280.26972045797265, 319.2844725482047, 253.64595046666395, 38.78487806301243, 27.023043533264484, 59.136611340062835]","[3, 3, 3, 3, 1]","[2, 3, 2, 1, 2]","[[43.403961684], [3.6521340316], [0.0], [89.739965793], [96.08856417]]",3639.1847574
"[361.77895547628833, 369.5642336903664, 375.5549412264456, 40.52032378093019, 56.594301256026654, 50.3156586728105]","[1, 1, 1, 1, 1]","[2, 2, 2, 1, 3]","[[0.83154028726], [0.83190143987], [12.742664017], [82.39903035], [40.964763814]]",13253.047952
"[395.49792159395946, 365.06361463119185, 270.0709152589195, 27.399276941391633, 57.01159872103179, 26.354687960731418]","[3, 3, 1, 1, 3]","[2, 2, 1, 3, 3]","[[0.90731716673], [11.73362025], [137.90105854], [14.941920004], [127.37774991]]",10236.467914
"[381.4876055804626, 379.7191254919818, 347.9432245195282, 49.594702726862394, 26.419772516464118, 37.09460253797058]","[3, 3, 1, 1, 3]","[1, 1, 2, 2, 3]","[[1.6410753195], [42.373332146], [142.04436226], [0.0], [96.889831264]]",13192.357733
"[343.34748354937693, 354.6540368405447, 254.5451204423219, 46.81213483967734, 48.76744602540202, 27.763027647321433]","[3, 3, 2, 2, 2]","[2, 2, 1, 2, 3]","[[23.469803871], [23.469872423], [55.772415197], [0.58628144946], [136.36239305]]",7359.889198
"[288.58443238815045, 302.8220947475055, 293.62188766255804, 38.350313204570625, 34.97906825218485, 59.9348251665661]","[1, 1, 1, 1, 2]","[3, 3, 3, 3, 2]","[[0.068911598617], [0.068917504785], [0.06892533941], [0.068935102614], [105.83854129]]",4960.1518924
"[281.12239143248235, 380.33420308755245, 377.1978999846474, 41.73390664650195, 32.05262730198497, 42.789685739587746]","[1, 1, 1, 2, 1]","[2, 2, 3, 1, 2]","[[0.24376766701], [0.26844395337], [72.799629322], [77.265574878], [117.7051749]]",10562.034043
"[252.1400805329808, 291.9141503929279, 272.4551242234469, 33.245155966195334, 26.806206573364733, 46.776959092323885]","[1, 1, 2, 2, 2]","[3, 3, 1, 2, 2]","[[27.966287402], [27.967175637], [113.17234782], [0.084340828936], [140.32604781]]",2185.9148057
"[266.389615657514, 269.5384100787019, 316.50891348807227, 59.82343513441268, 44.964907516167926, 35.85549892553773]","[1, 1, 1, 1, 1]","[3, 3, 3, 1, 2]","[[0.011941593088], [0.011941927239], [102.10735602], [0.74686938421], [63.598441207]]",3676.9574096
"[351.5663861026383, 320.2444624098387, 347.138135191712, 30.64034382871792, 48.943157282049725, 57.35265245012278]","[2, 2, 2, 1, 2]","[1, 2, 3, 2, 1]","[[0.29132200163], [0.0], [11.198280131], [46.770444697], [123.90002361]]",9908.8057981
"[396.0939127682023, 281.18433516901536, 269.80936650344677, 50.549962857921805, 35.380125219169386, 41.67521393777213]","[3, 3, 1, 1, 1]","[1, 1, 3, 2, 2]","[[1.569963373], [38.403531884], [77.513794985], [0.28303454211], [103.85924769]]",7173.0977213
"[359.47147902064734, 279.77891895357857, 374.89751440532996, 58.3124951423313, 49.796580399819845, 49.709575530533826]","[2, 2, 2, 3, 2]","[2, 1, 3, 2, 3]","[[0.40001368975], [7.1380812894], [28.349910994], [42.760451219], [15.17864877]]",9817.0025665
"[265.50968844137185, 320.6149600225289, 383.6594815038696, 55.999145280853, 39.20372816986318, 44.604160785676385]","[1, 1, 1, 3, 3]","[1, 1, 3, 2, 3]","[[0.94085429206], [15.979390636], [0.40009482602], [87.971600376], [64.724305051]]",8076.2843112
"[255.64230181284623, 322.1291420363188, 295.7843561609711, 41.957804458665464, 33.17592726690155, 26.403675470326537]","[1, 1, 2, 2, 2]","[1, 1, 3, 1, 2]","[[34.357562459], [34.368326362], [142.11245274], [7.5925983364], [113.46582766]]",4303.9168488
"[327.1456322544526, 380.7718397981007, 310.35436337341355, 58.815983645741326, 39.18685400646117, 39.62144730039794]","[3, 3, 3, 2, 3]","[2, 1, 2, 2, 3]","[[0.0], [5.0083891785], [0.0], [88.041181902], [86.19970357]]",9886.3099905
"[370.54145367933205, 279.76996371607703, 256.7060720844615, 26.287406538890487, 32.111848640910644, 50.969904640846224]","[3, 3, 2, 3, 1]","[3, 3, 2, 1, 1]","[[19.096878358], [19.100425011], [117.94203227], [132.86689985], [9.7622184735]]",5592.5277513
"[296.8478830529213, 378.7644145115279, 338.6028042093542, 45.12403020429217, 39.85721325243288, 46.78146259807806]","[1, 1, 1, 2, 1]","[3, 3, 3, 1, 2]","[[0.0091410927977], [1.2944389833], [54.610833134], [62.925352236], [85.203987942]]",9709.3068652
"[334.16978977801335, 308.75180495447523, 286.3759614172171, 37.376852038630744, 47.88106713706054, 58.22024049525844]","[3, 3, 3, 1, 3]","[1, 1, 2, 3, 1]","[[46.702650638], [45.078242333], [51.263086019], [7.5283826966], [3.915022906]]",6572.7569221
"[263.70385218807485, 264.12253046137505, 275.15977973226325, 53.75095946109194, 56.72659408313778, 56.41338486786337]","[1, 1, 1, 1, 1]","[2, 2, 1, 3, 1]","[[6.9231550481], [6.9233519322], [10.545634061], [15.171382057], [15.887807419]]",1932.589482
"[253.7231558854263, 332.123954410399, 386.05832205413617, 52.98574213826738, 45.43742611995275, 41.14731661869689]","[1, 1, 3, 3, 3]","[1, 1, 1, 3, 2]","[[0.23937616163], [0.35362312251], [29.077310735], [79.746851439], [61.599687513]]",8154.8749728
"[307.77673892480493, 396.7485476782074, 286.78000591953287, 42.73592164887524, 41.021165088033, 44.91270262403612]","[3, 3, 2, 2, 3]","[3, 3, 2, 2, 1]","[[31.909186797], [31.910081103], [0.0013448869378], [80.279126791], [73.027051425]]",8836.6477844
"[336.8484978644647, 363.28648211342744, 351.7838090759383, 44.476714319029725, 40.92742703589877, 48.945001310753455]","[1, 1, 1, 2, 2]","[3, 3, 2, 3, 1]","[[0.0], [4.8599487486], [80.676983646], [41.902695699], [65.663498431]]",11134.889839
"[349.20821173932734, 306.98041905177786, 272.80272611187365, 34.36745998423583, 53.53698053748044, 48.55223234923439]","[3, 3, 1, 2, 3]","[2, 2, 3, 1, 1]","[[1.1984559849], [26.140116389], [48.424057163], [70.753013591], [37.672630628]]",6531.5674372
"[352.84569601216083, 371.3122826269031, 256.2968017060979, 56.842505473504445, 27.6204059760035, 59.704428821673766]","[3, 3, 3, 3, 2]","[3, 3, 3, 1, 2]","[[0.41659612852], [0.41675119446], [0.41691876042], [13.356201848], [136.96568272]]",8495.0912079
"[307.04007541014334, 348.37360433217907, 314.3743991483236, 27.25052218290569, 31.93884803993514, 40.69919470320168]","[1, 1, 1, 2, 1]","[3, 3, 1, 1, 2]","[[39.14339727], [42.499009136], [89.033506736], [49.49678443], [118.69867279]]",7907.5773496
"[280.87873070077904, 384.7436275089276, 394.13643577452694, 53.19851207946377, 36.36272870092846, 53.56497318134479]","[1, 1, 1, 1, 1]","[3, 3, 1, 2, 2]","[[1.1663498852], [26.053813558], [28.770293904], [44.488723692], [55.496933903]]",11466.173835
"[316.20914044231745, 353.3576463061493, 304.18711669058195, 52.32939706710389, 27.710907116510626, 55.372221068881515]","[3, 3, 3, 1, 1]","[3, 3, 1, 2, 2]","[[0.17442392586], [19.401080966], [32.446650406], [136.5799824], [0.0028804802455]]",8206.6414389
"[340.44899424186855, 250.77438398646166, 288.4947484536435, 27.40247939279181, 26.166355213010636, 40.70111169934396]","[3, 2, 1, 2, 3]","[3, 3, 1, 1, 2]","[[81.467839493], [0.23427171127], [137.82035696], [0.0], [143.11565897]]",4504.385986
"[326.97597166454, 296.1354099278613, 251.5237343841329, 59.352251291685775, 49.212861099960605, 45.323953118116194]","[3, 3, 3, 3, 1]","[1, 1, 2, 3, 3]","[[0.19030825205], [2.5488867509], [45.629597547], [0.78077451211], [61.299685831]]",4565.8602985
"[374.79296771680004, 339.93532465316156, 253.2940282480108, 49.823645256921274, 43.429667042931484, 49.69728463279383]","[3, 3, 3, 1, 1]","[1, 1, 2, 1, 3]","[[11.366394212], [11.367051626], [70.092508398], [20.312534735], [43.580486003]]",8023.4784946
"[327.7148662776663, 365.1499890199209, 282.05978505528765, 56.72754823772844, 49.91362982701786, 37.989391063824]","[3, 3, 3, 1, 3]","[1, 1, 1, 2, 3]","[[0.81859287555], [0.81895831389], [12.20491977], [42.665345827], [93.1048758]]",8289.5598135
